Codigo;CedulaUsuario
M89;1013585373
C58;1016621117
G66;1026021930
C59;1020570722
T69;1031177767
E12;1020075208
M89;1014125968
C50;1029522395
G66;1016403898
C59;1021947890
L45;1026104559
C50;1030580554
C59;1011914403
C59;1032209270
C58;1015847962
E12;1031989357
G66;1011681857
T69;1034008644
O52;1018300488
C59;1022336960
C50;1017079539
E12;1035526090
O52;1019239330
C58;1021721392
L45;1018536192
C50;1030743770
C58;1020415377
L45;1023382997
C59;1029323293
R59;1025594978
T69;1021320375
C58;1013765208
C58;1029364424
C50;1015595372
C50;1015391013
O52;1026246031
C50;1011445323
L45;1028465697
R59;1027842911
C50;1013597316
C59;1018019606
T69;1017956067
C58;1033120285
G66;1028915761
C50;1030495787
L45;1022280112
C58;1029603349
L45;1022621830
C59;1019685387
M89;1026058240
O52;1028777732
C58;1021533521
E12;1033171794
C59;1016457516
E12;1019209229
T69;1025092969
E12;1034777921
E12;1011140580
M89;1030334661
C58;1021745151
C50;1021023131
M89;1022389016
L45;1026683979
C50;1016287542
C50;1015498367
L45;1017339842
C50;1021919454
R59;1022498267
O52;1018731344
L45;1030867355
T69;1012894855
C58;1022583769
M89;1012656774
O52;1023799102
O52;1033941061
R59;1018998436
R59;1022880927
C50;1032993168
C50;1011224642
C50;1022045106
C59;1030276339
O52;1030712514
O52;1025853752
G66;1023956697
C58;1010356744
G66;1021016914
T69;1011056982
R59;1012329366
T69;1028814419
M89;1025401501
M89;1021055735
E12;1016921927
C50;1020373084
C59;1023920058
E12;1019131103
G66;1027802798
R59;1027887196
O52;1033676522
C59;1031628759
C50;1024268407
G66;1021195473
M89;1016085943
L45;1023496787
T69;1018704631
O52;1029570945
R59;1033459242
C59;1024813765
C58;1022492597
O52;1034564200
M89;1016637819
L45;1036888655
R59;1024128401
C58;1031240932
G66;1022412754
E12;1025866591
T69;1032182155
T69;1035227029
C59;1029763343
T69;1036673102
C58;1031838584
C50;1027312870
C58;1028089725
L45;1036448757
G66;1034002907
C50;1022818486
C50;1017785030
E12;1030788314
E12;1027347825
R59;1031516899
C59;1016195045
C59;1028895912
T69;1022879113
E12;1024138789
G66;1024446367
G66;1031959556
C59;1024716695
O52;1025848568
L45;1021465937
O52;1034587497
O52;1022337825
T69;1031931049
O52;1011194727
M89;1016892436
R59;1027831072
O52;1016858034
T69;1028514619
L45;1017150968
C50;1030782485
O52;1017322522
C58;1030170927
C50;1022368969
O52;1015655389
T69;1028464391
E12;1029265536
R59;1025153422
C58;1035531934
T69;1017545936
G66;1016580319
C59;1018394443
O52;1017029058
L45;1024412840
O52;1014586305
C59;1017671594
C58;1018655076
C59;1017912082
L45;1028596870
C58;1036410920
M89;1026571089
M89;1015868364
E12;1028990086
G66;1030413460
C50;1018280419
M89;1021505305
R59;1024401882
R59;1022437611
E12;1014046497
M89;1032565362
R59;1036687189
C50;1029476226
O52;1025424064
G66;1030756826
C59;1033524388
L45;1032166440
C50;1029816636
R59;1016740404
L45;1019164704
C59;1021308934
L45;1011040324
C50;1035551890
C58;1034378042
E12;1029888936
C50;1025732497
C50;1030163779
C59;1036851235
C59;1035460208
O52;1031798943
O52;1029066971
M89;1033466666
C59;1024867567
T69;1010806813
E12;1034795571
L45;1019733188
C58;1011169799
C50;1011181071
C58;1019155892
E12;1024093901
L45;1036801295
T69;1029140913
C50;1016156670
O52;1023003499
M89;1028110905
E12;1032645283
O52;1024720030
C58;1018314541
T69;1021850243
M89;1034558595
C58;1015578544
C59;1019984844
L45;1032880040
C58;1018975499
G66;1012071120
G66;1035943195
R59;1016670550
L45;1021472512
O52;1031558338
C59;1029863117
C59;1022850876
E12;1021351530
L45;1016210722
C58;1033186171
C58;1014153914
C50;1022387550
G66;1022633729
T69;1036059633
T69;1030634728
C59;1016756694
M89;1021182310
L45;1025648215
C59;1035286089
C58;1022794265
T69;1023469774
R59;1010567574
M89;1023636992
R59;1026544342
T69;1025646436
M89;1024280226
G66;1016627320
M89;1032986805
C59;1015824335
T69;1028027978
C58;1013573770
C59;1029669114
M89;1014021480
C59;1021338634
O52;1018058623
O52;1029499637
C59;1035382890
T69;1013440779
L45;1034917656
E12;1016086952
C59;1023759215
O52;1013839585
C50;1024947939
E12;1012302181
R59;1011679096
G66;1023768678
R59;1034813945
C59;1012175979
C50;1016773730
C58;1019269365
R59;1033376759
C58;1014941722
C59;1012089637
R59;1033243107
E12;1021681815
E12;1025451448
C50;1026987832
T69;1011334431
C50;1014282749
C58;1017027726
E12;1035163331
T69;1014882424
E12;1031479673
C59;1023864539
C50;1032739232
L45;1025790829
C50;1011929082
C50;1011610541
R59;1031969951
T69;1010490708
L45;1034205342
C58;1016192575
M89;1017000528
C50;1021775628
E12;1033585744
G66;1036468930
L45;1024958123
O52;1012193160
G66;1019811688
C58;1022152827
L45;1015404275
C58;1015553384
C50;1029282157
E12;1033097503
C50;1019133569
T69;1011932882
C58;1021419967
C58;1035022079
E12;1012435662
C50;1012742701
C50;1013370320
G66;1033173454
G66;1035391964
O52;1035217354
O52;1026823908
R59;1027232621
T69;1012532819
C59;1016364876
L45;1027023882
O52;1021155286
R59;1030570377
C59;1013458072
M89;1013454082
M89;1025334779
E12;1023362830
C50;1024058460
M89;1023439794
T69;1022341550
O52;1029300847
R59;1017993144
T69;1011712847
C59;1028202671
C58;1028226603
C59;1019491834
G66;1020254033
C50;1034157605
R59;1015325087
O52;1015980440
L45;1023942631
C58;1022039497
C59;1034526489
R59;1018228029
M89;1014709318
C50;1029472722
C58;1024593373
C59;1034971670
L45;1022807507
L45;1024203854
O52;1027390937
E12;1035391018
C58;1017344290
C59;1023900542
C58;1024736391
C59;1018420397
L45;1011402628
C58;1023964882
G66;1034463752
C58;1020096173
G66;1012697007
R59;1010405682
C50;1032205733
M89;1021273230
M89;1028445107
L45;1030896989
M89;1013103402
E12;1026551236
T69;1013159073
G66;1020853625
C58;1028574530
O52;1023752210
O52;1017530475
C50;1024441701
C59;1018522439
O52;1019288379
T69;1029614790
C59;1034336110
G66;1013187935
T69;1019136046
E12;1023260023
O52;1032051634
R59;1032312401
O52;1022931258
C59;1036733840
E12;1034578730
C58;1032632014
M89;1013563380
C58;1028970743
M89;1028032832
C58;1026024805
C59;1014088335
M89;1029573313
C50;1011722672
M89;1021837789
R59;1011637330
M89;1014399947
E12;1018931756
C59;1034283148
M89;1035191991
R59;1013737685
G66;1016570428
G66;1026694036
M89;1032573609
L45;1012488720
T69;1017077398
M89;1032722766
L45;1033757414
T69;1018783742
M89;1023705842
C50;1011515118
O52;1018156004
M89;1028874505
T69;1013976474
E12;1033666468
R59;1012940854
O52;1032202510
G66;1035426080
E12;1017697530
L45;1018625667
M89;1028641095
G66;1016105049
M89;1021729886
G66;1028544363
C59;1022138283
R59;1034587078
C58;1011453727
C50;1021609408
O52;1033715827
M89;1013869282
T69;1027336832
L45;1035142730
C50;1035248097
T69;1025733993
C58;1025629718
C50;1013854615
T69;1015572417
T69;1033020120
R59;1034939425
M89;1010546621
C58;1024067212
C58;1021560975
O52;1028752074
T69;1012458770
L45;1021022939
G66;1023071016
L45;1019464595
M89;1021488818
R59;1031105221
G66;1011245581
L45;1025094525
C58;1028386991
T69;1018868039
C59;1015112656
C50;1033112663
C59;1011483828
T69;1012825635
R59;1035397763
L45;1029876601
O52;1013335969
C59;1011424733
G66;1034805868
T69;1019547941
C50;1028021710
E12;1016986725
M89;1016104722
O52;1016279188
T69;1017957753
C50;1017217687
T69;1030469706
M89;1028137391
L45;1022501457
C58;1019820023
M89;1034605738
M89;1010965834
M89;1036507306
C58;1023394607
M89;1034978071
T69;1034613421
C58;1035446652
C59;1034049496
C58;1036387607
C50;1015946848
T69;1011788971
E12;1031856859
C50;1033225053
C59;1025510642
O52;1031036307
R59;1011629127
C59;1012625314
T69;1012923472
M89;1024796665
E12;1019766039
T69;1027070077
E12;1023652287
O52;1034945894
C59;1023690667
C58;1025083614
M89;1029866792
R59;1019475821
R59;1012226645
L45;1018742974
R59;1025753546
C59;1015122582
L45;1032371880
O52;1018577844
M89;1031448359
E12;1029099394
L45;1020418189
C50;1011417815
O52;1023179606
G66;1029433679
G66;1012127981
R59;1021323835
M89;1012558823
R59;1016691843
C58;1017726985
C58;1011010503
L45;1026999844
R59;1014295926
M89;1034486469
E12;1024814269
E12;1023380269
G66;1029504040
C58;1022228197
O52;1019478952
L45;1029982743
C59;1016583680
O52;1024875235
C58;1024436559
C50;1029804656
R59;1014663461
G66;1012981167
M89;1025081273
E12;1011521740
R59;1012781050
O52;1024439858
E12;1035895106
T69;1010932381
C50;1020841457
T69;1017837674
G66;1035272470
C59;1015870836
O52;1019367498
C58;1034636122
M89;1031837229
C50;1025338258
G66;1018599116
E12;1023127268
C50;1033928214
E12;1035548437
C59;1019310027
L45;1017370911
O52;1011933694
L45;1017037034
C59;1033364805
C59;1029813041
C58;1016150253
C58;1016334725
C59;1024515281
R59;1013611411
C59;1034941084
R59;1012865139
T69;1031464203
G66;1030588426
C50;1020641740
C50;1028327995
C59;1029250560
C59;1014138376
O52;1020107746
O52;1028020624
C50;1032882941
O52;1021538343
G66;1018103724
M89;1021186318
T69;1016069561
L45;1033541057
C59;1030250333
T69;1024666025
L45;1016515312
O52;1029231779
C58;1026394412
O52;1011883001
R59;1013450810
G66;1021710021
O52;1017682219
C50;1017766064
E12;1034277654
C59;1016632228
C59;1036595615
T69;1018050943
C58;1015273892
C58;1015818827
E12;1016492092
O52;1036845510
L45;1030196262
